,rel,query,author_name
31711,1,Game Development,Mia Consalvo
33420,1,Digital Signal Processing,Tharm Ratnarajah
31907,4,Computational Biology,Sergei L Kosakovsky Pond
28675,3,Bioinformatics,Mauro Delorenzi
36194,2,Pattern Recognition,Lennart Husvogt
31554,2,Distributed Systems,Christian Facchi
23506,3,Augmented Reality,Ahmad-Reza Sadeghi
38896,1,Discrete Mathematics,Carlos Jiménez de Parga
8749,3,Deep Learning,Mehdi Mohammadi
39274,2,Network Management,Eran Raichstein
35095,5,High-Performance Computing,Nicholas Malaya
26266,4,Robotics,Salah Sukkarieh
35355,2,Embedded Systems,Gregor Schiele
28682,4,Bioinformatics,Dmitrij Frishman
30065,5,Database Systems,Leonel Aguilar
32171,4,Computer Architecture,Thomas Manville
8662,3,Statistical Learning,Ralf Schlüter
23465,3,Virtual Reality,Johannes Novotny
30122,1,Information Security,Thorsten Holz
22213,5,Scientific Computing,Mani Srivastava
41844,2,System Dynamics,Bryan Paul
28976,2,Big Data Analytics,Euan A. Ashley
4898,1,Machine Intelligence,Carl Edward Rasmussen
42439,3,User Interface Design,Nader Rahnama
25564,4,Network Security,Farrukh Aslam Khan
24273,4,Cloud Computing,Siddharth Agarwal
32252,1,Operating Systems,Kathryn B. Laskey
25503,3,Cybersecurity,Shahid Raza
25408,2,Network Security,Helge Janicke
4846,1,Machine Intelligence,Samir Bhatt
36840,2,Green Computing,Tamim Al Mahmud
21125,3,Computer Graphics,Anders Krogh
23515,4,Augmented Reality,Alan R Clarke
4943,1,Machine Learning,Stefan Schaal
38696,1,Content Delivery Networks,Jon Sweeney
39195,4,IT Governance,Massimo Warglien
22906,4,Quantum Computing,Si-Hui Tan
35336,1,Embedded Systems,Henk Corporaal
8477,3,Machine Learning,Gustavo Carneiro
8801,4,Machine Learning,Angelo Cangelosi
4993,1,Robotics,Stephen Roberts
26273,4,Robotics,Jur van den Berg
38654,5,Computational Finance,Alejandro Angeli Ayello
35410,3,Embedded Systems,Alam Noor
10695,5,Machine Learning,Frans Coenen
11011,2,Data Mining,Klaus ten Hagen
25482,3,Cybersecurity,Gerhard Wunder
31633,5,Distributed Systems,Christian Spann
32172,4,Computer Architecture,Pascal Bruegger
25484,3,Cybersecurity,Marianne Junger
38354,3,Complex Systems,Paul Krause
39766,3,Performance Engineering,Seonmyeong Bak
37335,5,Autonomous Systems,Andreas Wachaja
28704,5,Bioinformatics,Bengt Persson
25559,5,Cybersecurity,Ashish Kundu
30069,5,Database Systems,Kundan Kumar
33889,3,Wireless Communications,Markus Leinonen
8065,2,Deep Learning,Wai Lok Woo
10870,1,Data Mining,Dieter Landes
29957,5,Software Engineering,Mark Lundstrom
25534,4,Cybersecurity,Michael Goldsmith
21988,4,Scientific Computing,Thorsten Joachims
39172,2,IT Governance,Ivo Buchhalter
41757,5,Software Testing,Ying Zou
41600,4,Software Testing,Reiko Heckel
29897,4,Software Engineering,Srinivas Devadas
37351,1,Business Intelligence,Jaydip Sen
36876,2,Ubiquitous Computing,Hassan Mehmood
23852,3,Internet of Things,Apoorv Srivastava
4912,1,Reinforcement Learning,Yee Whye Teh
23535,1,Internet of Things,Wei Xiang
42329,4,System Integration,Modar Shbat
8085,4,Artificial Intelligence,Gitta Kutyniok
31943,5,Computational Biology,Pablo Librado Sanz
26272,4,Robotics,Stefano Stramigioli
38415,2,Computational Finance,Oleksandr Romanko
23425,1,Virtual Reality,Falko Kuester
29464,3,Big Data Analytics,Kathleen McKeown
